c_id,c_name,c_id,model_name,transmission,model_name,price
1,Subaru                                                          ,1,Outback                                                         ,automatic                                                       ,Outback                                                         ,10900
1,Subaru                                                          ,1,Forester                                                        ,automatic                                                       ,Forester                                                        ,2800
1,Subaru                                                          ,1,Impreza                                                         ,mechanical                                                      ,Impreza                                                         ,9999
1,Subaru                                                          ,1,Legacy                                                          ,automatic                                                       ,Legacy                                                          ,2134
1,Subaru                                                          ,1,Tribeca                                                         ,automatic                                                       ,Tribeca                                                         ,8350
1,Subaru                                                          ,1,Justy                                                           ,mechanical                                                      ,Justy                                                           ,1666
1,Subaru                                                          ,1,XV                                                              ,automatic                                                       ,XV                                                              ,12900
1,Subaru                                                          ,1,Leone                                                           ,mechanical                                                      ,Leone                                                           ,1500
1,Subaru                                                          ,1,WRX                                                             ,automatic                                                       ,WRX                                                             ,24900
1,Subaru                                                          ,1,Libero                                                          ,mechanical                                                      ,Libero                                                          ,2134
2,LADA                                                            ,2,Vesta                                                           ,automatic                                                       ,Vesta                                                           ,8200
2,LADA                                                            ,2,Largus                                                          ,mechanical                                                      ,Largus                                                          ,7066
2,LADA                                                            ,2,XRAY                                                            ,mechanical                                                      ,XRAY                                                            ,12928
2,LADA                                                            ,2,4x4                                                             ,mechanical                                                      ,4x4                                                             ,6615
2,LADA                                                            ,2,Priora                                                          ,mechanical                                                      ,Priora                                                          ,3000
2,LADA                                                            ,2,Granta                                                          ,mechanical                                                      ,Granta                                                          ,5400
2,LADA                                                            ,2,111                                                             ,mechanical                                                      ,111                                                             ,420
2,LADA                                                            ,2,Kalina                                                          ,mechanical                                                      ,Kalina                                                          ,4400
2,LADA                                                            ,2,112                                                             ,mechanical                                                      ,112                                                             ,1090
2,LADA                                                            ,2,110                                                             ,mechanical                                                      ,110                                                             ,400
3,Dodge                                                           ,3,Dart                                                            ,automatic                                                       ,Dart                                                            ,10500
3,Dodge                                                           ,3,Stratus                                                         ,automatic                                                       ,Stratus                                                         ,2371
3,Dodge                                                           ,3,Grand Caravan                                                   ,automatic                                                       ,Grand Caravan                                                   ,27000
3,Dodge                                                           ,3,Caravan                                                         ,automatic                                                       ,Caravan                                                         ,4000
